idx,doc_id,period,year,paragraph_idx,segment_idx,char_count,word_count,filter_score
149,potseluev_1997,1985-1999,1997,579,0,528,72,2
150,potseluev_1997,1985-1999,1997,579,1,901,136,4
151,potseluev_1997,1985-1999,1997,579,2,422,60,4
152,potseluev_1997,1985-1999,1997,580,1,813,110,9
153,potseluev_1997,1985-1999,1997,581,0,439,60,5
154,potseluev_1997,1985-1999,1997,582,0,722,101,3
155,potseluev_1997,1985-1999,1997,589,0,330,52,6
156,potseluev_1997,1985-1999,1997,591,0,167,27,2
157,potseluev_1997,1985-1999,1997,598,0,627,75,2
158,potseluev_1997,1985-1999,1997,601,0,569,68,2
159,potseluev_1997,1985-1999,1997,607,1,217,35,5
160,potseluev_1997,1985-1999,1997,617,0,566,84,3
161,potseluev_1997,1985-1999,1997,618,0,730,137,4
162,potseluev_1997,1985-1999,1997,620,1,592,82,3
163,potseluev_1997,1985-1999,1997,626,1,814,114,3
164,potseluev_1997,1985-1999,1997,630,0,471,54,3
165,potseluev_1997,1985-1999,1997,633,2,680,82,4
166,potseluev_1997,1985-1999,1997,633,3,302,40,5
167,potseluev_1997,1985-1999,1997,637,0,125,19,3
168,potseluev_1997,1985-1999,1997,641,0,444,46,2
169,potseluev_1997,1985-1999,1997,645,0,1033,143,2
170,potseluev_1997,1985-1999,1997,650,0,857,101,3
171,potseluev_1997,1985-1999,1997,650,1,963,106,3
172,potseluev_1997,1985-1999,1997,650,2,481,66,7
173,potseluev_1997,1985-1999,1997,651,0,390,51,9
174,potseluev_1997,1985-1999,1997,652,0,368,53,3
175,potseluev_1997,1985-1999,1997,653,0,625,69,3
176,potseluev_1997,1985-1999,1997,654,0,351,38,2
177,potseluev_1997,1985-1999,1997,655,0,1173,142,7
178,potseluev_1997,1985-1999,1997,655,1,471,62,7
179,potseluev_1997,1985-1999,1997,656,0,810,112,5
180,potseluev_1997,1985-1999,1997,656,1,455,63,7
181,potseluev_1997,1985-1999,1997,656,2,851,111,10
182,potseluev_1997,1985-1999,1997,657,0,650,98,2
183,potseluev_1997,1985-1999,1997,658,0,773,106,3
184,potseluev_1997,1985-1999,1997,659,0,922,122,3
185,potseluev_1997,1985-1999,1997,659,1,613,90,6
186,potseluev_1997,1985-1999,1997,660,0,333,50,3
187,potseluev_1997,1985-1999,1997,661,0,555,70,9
